KEY,PREF,CITY,KCITY,RCOM,AIRTEMP,PRECIP,WIND,SOC,SAND,pH,CEC,NSTOCK,SOILTEMP
2610803009,26,108,03,009,13.68,144.51,1.81,74.44,0.36,5.02,261.1,714.49,12.85
2610803010,26,108,03,010,13.78,144.7,1.87,73.77,0.37,5.03,277.02,700.18,12.9
2610804001,26,108,04,001,12.79,128.89,1.59,70.94,0.38,4.94,247.76,686.26,12.07
2610804002,26,108,04,002,13.55,131.46,1.65,68.89,0.39,4.96,247.58,679.0,12.6
2610804003,26,108,04,003,13.33,132.37,1.6,72.44,0.37,4.96,250.2,707.84,12.52
2610804004,26,108,04,004,13.27,136.92,1.65,73.72,0.37,4.97,253.83,724.61,12.65
2610804005,26,108,04,005,13.1,136.88,1.56,71.21,0.36,4.96,253.89,690.21,12.41
2610804006,26,108,04,006,13.38,138.98,1.68,74.88,0.36,5.01,261.77,728.14,12.98
2610804007,26,108,04,007,13.52,135.95,1.73,73.61,0.38,4.98,262.57,710.14,12.77
2610804008,26,108,04,008,13.81,142.09,1.8,73.81,0.35,5.11,275.67,714.57,13.51
2610804009,26,108,04,009,13.88,141.02,1.84,74.27,0.38,5.07,274.73,708.53,13.5
2610804010,26,108,04,010,13.88,141.02,1.84,72.0,0.39,5.3,276.0,707.0,13.84
2610804011,26,108,04,011,13.81,141.31,1.85,74.0,0.38,5.04,273.43,663.57,13.35
2610804012,26,108,04,012,13.99,141.86,1.88,71.14,0.39,5.13,261.0,674.43,13.55
2610804013,26,108,04,013,13.59,145.2,1.94,70.18,0.39,5.09,261.91,693.27,13.19
2610804014,26,108,04,014,13.82,142.15,1.92,69.0,0.4,5.15,249.67,690.0,12.98
2610804015,26,108,04,015,13.71,144.71,1.98,68.38,0.39,5.12,253.54,686.15,12.7
2610804016,26,108,04,016,13.49,143.19,1.96,68.56,0.4,5.01,248.33,653.39,12.77
2610805001,26,108,05,001,12.88,153.16,2.11,69.85,0.38,4.93,260.53,615.48,11.62
2610805002,26,108,05,002,13.09,152.56,2.16,68.19,0.38,4.98,246.9,554.19,11.47
2610805003,26,108,05,003,12.9,148.82,2.15,71.2,0.39,4.92,266.18,601.43,11.23
2610805004,26,108,05,004,13.14,147.42,2.06,69.66,0.38,4.98,257.07,613.35,11.87
2610805005,26,108,05,005,12.64,143.05,2.09,75.03,0.39,4.93,269.45,614.19,10.89
2610805006,26,108,05,006,12.97,140.16,1.98,69.8,0.39,4.96,267.2,590.53,11.6
2610806001,26,108,06,001,13.54,137.94,1.84,69.14,0.39,5.0,254.39,633.79,12.7
2610806002,26,108,06,002,13.26,137.57,1.87,68.8,0.39,4.94,266.48,611.92,12.76
2610806003,26,108,06,003,13.53,136.22,1.83,69.46,0.4,4.96,263.59,611.76,12.72
2610806004,26,108,06,004,13.69,130.93,1.76,68.88,0.39,4.97,271.29,591.18,12.15
2610806005,26,108,06,005,13.36,132.08,1.73,68.92,0.4,4.94,247.92,642.86,12.36
2610806006,26,108,06,006,13.46,129.63,1.66,69.21,0.4,4.95,244.08,644.17,12.71
2610806007,26,108,06,007,13.36,129.74,1.66,70.76,0.39,4.97,247.67,652.52,12.23
2610806008,26,108,06,008,13.31,127.77,1.64,71.4,0.39,4.97,255.15,619.06,11.93
2610807001,26,108,07,001,13.74,143.18,1.76,72.92,0.35,5.22,251.83,734.0,13.75
2610807002,26,108,07,002,13.25,141.75,1.67,74.92,0.35,5.05,250.85,725.69,13.45
2610807003,26,108,07,003,13.56,145.86,1.75,74.95,0.36,5.0,253.36,724.64,13.21
2610807004,26,108,07,004,13.54,147.26,1.71,75.19,0.37,5.04,255.45,707.16,13.21
2610807005,26,108,07,005,13.23,148.36,1.66,75.67,0.37,5.03,258.6,694.03,12.94
2610807006,26,108,07,006,13.2,154.23,1.77,77.23,0.36,5.02,265.0,689.55,12.72
